Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
485,"485.7838","Neisseria gonorrhoeae strain AUSMDU00007046","ciprofloxacin","Resistant","0.008",,"0.008","mg/L","agar dilution",,,,"clsi",2016,,,,"Laboratory Method",,"29182725"
28901,"28901.13281","Salmonella enterica strain 3541A","ciprofloxacin","Susceptible",,,,,"disk diffusion",,,,"EUCAST",2010,,,,"Laboratory Method",,"31222015"
485,"485.3801","Neisseria gonorrhoeae ERR2631807","ciprofloxacin",,"<=0.008","<=","0.008","mg/L","Etest",,,,,,,,,"Laboratory Method",,"31479500"
470,"470.7891","Acinetobacter baumannii strain MRSN7508","ciprofloxacin","Resistant","2",">","2","mg/L","MIC",,"Phoenix","Becton Dickinson","CLSI",,,,,"Laboratory Method",,
28901,"28901.799","Salmonella enterica strain CVM 43751","ciprofloxacin","Susceptible","<=0.015","<=","0.015","mg/L","broth microdilution",,"Dehydrated Panels CMV2AGNF and CMV3AGNF","Thermo Fisher Scientific","CLSI",2015,,,,"Laboratory Method",,"27381390"
573,"573.29529","Klebsiella pneumoniae strain CL1898","ciprofloxacin","Resistant",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
485,"485.5199","Neisseria gonorrhoeae ERR1528218","ciprofloxacin",,"8",,"8","mg/L","agar dilution or Etest",,,,,,,,,"Laboratory Method",,"31479500"
573,"573.28020","Klebsiella pneumoniae strain EW160","ciprofloxacin","Susceptible",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
550,"550.2651","Enterobacter cloacae strain UM_CRE_14","ciprofloxacin",,"2",,"2","mg/L","MIC",,,"BioMérieux","CLSI",,,,,"Laboratory Method",,
590,"590.14028","Salmonella enterica SRR1646942","ciprofloxacin",,"<=0.01","<=","0.01","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
470,"470.7376","Acinetobacter baumannii strain FDA-CDC-AR_0275","ciprofloxacin","Resistant","8",">","8","mg/L","MIC",,,,"CLSI",,,,,"Laboratory Method",,
611,"611.20","Salmonella enterica subsp. enterica serovar Heidelberg strain CVM N43481","ciprofloxacin",,"<=0.015","<=","0.015","mg/L","broth microdilution",,,"Trek Diagnostics","CLSI",2015,,,,"Laboratory Method","28784677","27381390"
590,"590.14288","Salmonella enterica SRR3096086","ciprofloxacin",,"<=0.01","<=","0.01","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
573,"573.15561","Klebsiella pneumoniae strain KSB1_2G","ciprofloxacin","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
611,"611.30","Salmonella enterica subsp. enterica serovar Heidelberg strain CVM N45397","ciprofloxacin",,"<=0.015","<=","0.015","mg/L","broth microdilution",,,"Trek Diagnostics","CLSI",2015,,,,"Laboratory Method","28784677","27381390"
573,"573.34275","Klebsiella pneumoniae strain INF341-sc-2280155","ciprofloxacin","Susceptible",,,,,"Computational Prediction","Accuracy:0.909, F1 score:0.912, AUC:0.947","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.29744","Klebsiella pneumoniae strain ZKP33","ciprofloxacin","Resistant",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
470,"470.6180","Acinetobacter baumannii strain AB_349","ciprofloxacin","Susceptible",,,,,"Kirby Bauer disk diffusion",,,,"CLSI",2016,,,,"Laboratory Method",,
485,"485.4605","Neisseria gonorrhoeae ERR854991","ciprofloxacin",,"4",,"4","mg/L","agar dilution",,,,,,,,,"Laboratory Method",,"31479500"
54388,"54388.343","Salmonella enterica subsp. enterica serovar Paratyphi A strain PA2183","ciprofloxacin","Susceptible",,,,,"disc_diffusion",,,,"eucast",2014,,,,"Laboratory Method",,"28348832"
573,"573.20226","Klebsiella pneumoniae strain 4300STDY6636990","ciprofloxacin","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
590,"590.15810","Salmonella enterica SRR3295540","ciprofloxacin",,"<=0.015","<=","0.015","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
562,"562.65811","Escherichia coli strain RS254","ciprofloxacin","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"27208899"
470,"470.8059","Acinetobacter baumannii strain MRSN7815","ciprofloxacin","Resistant","2",">","2","mg/L","MIC",,"Microscan","Siemens","CLSI",,,,,"Laboratory Method",,
485,"485.4478","Neisseria gonorrhoeae ERR3201352","ciprofloxacin",,"8",,"8","mg/L","MIC",,,"bioMeurieux",,,,,,"Laboratory Method",,"32829411"
590,"590.15255","Salmonella enterica SRR1752848","ciprofloxacin",,"<=0.01","<=","0.01","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
485,"485.4426","Neisseria gonorrhoeae ERR3201288","ciprofloxacin",,"0.003",,"0.003","mg/L","MIC",,,"bioMeurieux",,,,,,"Laboratory Method",,"32829411"
573,"573.20060","Klebsiella pneumoniae strain AR_0135","ciprofloxacin","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
90371,"90371.2927","Salmonella enterica subsp. enterica serovar Typhimurium strain AR_0031","ciprofloxacin","Not defined","==0.5","==","0.5","mg/L","MIC",,,,"CLSI",,,,,"Laboratory Method",,
470,"470.10341","Acinetobacter baumannii SRR3225047","ciprofloxacin",,">2",">","2","mg/L","BD-Phoenix",,,,,,,,,"Laboratory Method",,"31479500"
590,"590.12053","Salmonella enterica SRR3295688","ciprofloxacin",,"<=0.015","<=","0.015","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
485,"485.3842","Neisseria gonorrhoeae ERR2631863","ciprofloxacin",,"<=0.008","<=","0.008","mg/L","Etest",,,,,,,,,"Laboratory Method",,"31479500"
590,"590.12581","Salmonella enterica SRR3001175","ciprofloxacin",,"<=0.015","<=","0.015","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
485,"485.8368","Neisseria gonorrhoeae strain 4478STDY6637707","ciprofloxacin",,"0.03",,"0.03","mg/L","MIC",,,,"EUCAST",,,,,"Laboratory Method",,"32091356"
485,"485.776","Neisseria gonorrhoeae strain 33162","ciprofloxacin","Resistant","16",,"16","mg/L","MIC",,,,"CLSI",2014,,,,"Laboratory Method",,"25378573"
485,"485.8564","Neisseria gonorrhoeae strain 4478STDY6638446","ciprofloxacin",,">=16",">=","16","mg/L","MIC",,,,"EUCAST",,,,,"Laboratory Method",,"32091356"
590,"590.13342","Salmonella enterica SRR2407734","ciprofloxacin",,"<=0.015","<=","0.015","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
550,"550.705","Enterobacter cloacae strain e1351","ciprofloxacin",,"64",,"64","mg/L","MIC",,,,"EUCAST",2016,,,,"Laboratory Method",,"27669519"
485,"485.9261","Neisseria gonorrhoeae strain 4478STDY6637672","ciprofloxacin",,"0.03",,"0.03","mg/L","MIC",,,,"EUCAST",,,,,"Laboratory Method",,"32091356"
287,"287.12838","Pseudomonas aeruginosa strain CH4878","ciprofloxacin","Susceptible",,,,,"agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"32048461"
485,"485.5260","Neisseria gonorrhoeae ERR1528289","ciprofloxacin",,"16",,"16","mg/L","agar dilution or Etest",,,,,,,,,"Laboratory Method",,"31479500"
470,"470.7688","Acinetobacter baumannii strain MRSN7232","ciprofloxacin","Resistant","2",">","2","mg/L","MIC",,"Microscan","Siemens","CLSI",,,,,"Laboratory Method",,
573,"573.22467","Klebsiella pneumoniae strain CRK0037","ciprofloxacin","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
485,"485.6986","Neisseria gonorrhoeae SRR5827263","ciprofloxacin",,"<=0.008","<=","0.008","mg/L","agar dilution",,,,,,,,,"Laboratory Method",,"31479500"
197,"197.16387","Campylobacter jejuni strain FSIS1607220","ciprofloxacin","Resistant","4","==","4","mg/L","MIC",,,,"CLSI",,,,,"Laboratory Method",,
615,"615.318","Serratia marcescens strain gn1255","ciprofloxacin",,"2",,"2","mg/L","MIC",,,,"EUCAST",2016,,,,"Laboratory Method",,"27432456"
485,"485.5212","Neisseria gonorrhoeae ERR1528235","ciprofloxacin",,"4",,"4","mg/L","agar dilution or Etest",,,,,,,,,"Laboratory Method",,"31479500"
573,"573.13808","Klebsiella pneumoniae KPN196ec","ciprofloxacin","Resistant",">2",">","2","mg/L","MIC",,"BD phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
590,"590.15637","Salmonella enterica SRR3295524","ciprofloxacin",,"0.06",,"0.06","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
485,"485.4502","Neisseria gonorrhoeae ERR3201367","ciprofloxacin",,"0.004",,"0.004","mg/L","MIC",,,"bioMeurieux",,,,,,"Laboratory Method",,"32829411"
590,"590.15894","Salmonella enterica SRR3295883","ciprofloxacin",,"<=0.015","<=","0.015","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.17200","Salmonella enterica SRR3295674","ciprofloxacin",,"=0.03","=","0.03","mg/L","broth microdilution",,,"Trek Diagnostics","CLSI",2015,,,,"Laboratory Method","28784677","30333126"
624,"624.2054","Shigella sonnei strain 187553","ciprofloxacin","r",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
485,"485.7603","Neisseria gonorrhoeae strain AUSMDU00004492","ciprofloxacin","Resistant","0.030",,"0.030","mg/L","agar dilution",,,,"clsi",2016,,,,"Laboratory Method",,"29182725"
573,"573.12927","Klebsiella pneumoniae 116","ciprofloxacin","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
573,"573.29528","Klebsiella pneumoniae strain CL1935","ciprofloxacin","Resistant",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
485,"485.5758","Neisseria gonorrhoeae ERR191818","ciprofloxacin",,"32",,"32","mg/L",,,,,"EUCAST",2017,,,,"Laboratory Method",,"30510172"
573,"573.15671","Klebsiella pneumoniae strain K1069","ciprofloxacin","Resistant",,,,,"disk-diffusion",,,,"EUCAST",2014,,,,"Laboratory Method",,"26769896"
573,"573.20740","Klebsiella pneumoniae strain EuSCAPE_LU004","ciprofloxacin","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
573,"573.34055","Klebsiella pneumoniae strain SCPM-O-B-7876","ciprofloxacin","Resistant",,,,,"Computational Prediction","Accuracy:0.909, F1 score:0.912, AUC:0.947","AdaBoost Classifier","PATRIC",,,,,,,,
470,"470.7744","Acinetobacter baumannii strain MRSN7305","ciprofloxacin","Resistant","2",">","2","mg/L","MIC",,"Phoenix","Becton Dickinson","CLSI",,,,,"Laboratory Method",,
573,"573.20820","Klebsiella pneumoniae strain EuSCAPE_RO089","ciprofloxacin","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
590,"590.14746","Salmonella enterica SRR3096719","ciprofloxacin",,"<=0.01","<=","0.01","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
90370,"90370.3465","Salmonella enterica subsp. enterica serovar Typhi strain 20621_8#69","ciprofloxacin","IS",,,,,"Kirby-Bauer disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"29684021"
590,"590.12793","Salmonella enterica SRR3663795","ciprofloxacin",,"<=0.01","<=","0.01","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
590,"590.15819","Salmonella enterica SRR3295541","ciprofloxacin",,"<=0.015","<=","0.015","mg/L","broth microdilution",,,"Trek Diagnostics","CLSI",2015,,,,"Laboratory Method","28784677","30333126"
590,"590.15567","Salmonella enterica SRR1752900","ciprofloxacin",,"<=0.01","<=","0.01","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
573,"573.25650","Klebsiella pneumoniae strain ICR003208","ciprofloxacin","Susceptible",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
28901,"28901.801","Salmonella enterica strain CVM 43754","ciprofloxacin",,"<=0.015","<=","0.015","mg/L","broth microdilution",,,"Trek Diagnostics","CLSI",2015,,,,"Laboratory Method","28784677","27381390"
485,"485.3898","Neisseria gonorrhoeae ERR2631923","ciprofloxacin",,"16",,"16","mg/L","Etest",,,,,,,,,"Laboratory Method",,"31479500"
590,"590.13694","Salmonella enterica SRR3089999","ciprofloxacin",,"0.03",,"0.03","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
573,"573.21546","Klebsiella pneumoniae strain EuSCAPE_DE026","ciprofloxacin","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
573,"573.33286","Klebsiella pneumoniae strain NR0891","ciprofloxacin","Resistant",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
590,"590.14864","Salmonella enterica SRR3933057","ciprofloxacin",,"<=0.015","<=","0.015","mg/L","broth microdilution",,,"Trek Diagnostics","CLSI",2015,,,,"Laboratory Method","28784677","30333126"
573,"573.34232","Klebsiella pneumoniae strain INF329-sc-2280137","ciprofloxacin","Susceptible",,,,,"Computational Prediction","Accuracy:0.909, F1 score:0.912, AUC:0.947","AdaBoost Classifier","PATRIC",,,,,,,,
485,"485.3843","Neisseria gonorrhoeae ERR2631870","ciprofloxacin",,"0.004",,"0.004","mg/L","MIC",,,"bioMeurieux",,,,,,"Laboratory Method",,"32829411"
90370,"90370.3284","Salmonella enterica subsp. enterica serovar Typhi strain 02TY_160","ciprofloxacin","Resistant","32",,"32","mg/L","etest",,,"BioMerieux","CLSI",2012,,,,"Laboratory Method",,"26974227"
573,"573.25711","Klebsiella pneumoniae strain TUM14046","ciprofloxacin","Susceptible",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
287,"287.2973","Pseudomonas aeruginosa strain AR_0092","ciprofloxacin","Resistant",">8",">","8","mg/L","MIC",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.22036","Klebsiella pneumoniae strain EuSCAPE_ES211","ciprofloxacin","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
470,"470.7690","Acinetobacter baumannii strain MRSN7234","ciprofloxacin","Resistant","4",">=","4","mg/L","MIC",,"Vitek","Biom�rieux","CLSI",,,,,"Laboratory Method",,
573,"573.26288","Klebsiella pneumoniae strain 5012STDY7626407","ciprofloxacin","Resistant",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
470,"470.7685","Acinetobacter baumannii strain MRSN7228","ciprofloxacin","Resistant","2",">","2","mg/L","MIC",,"Phoenix","Becton Dickinson","CLSI",,,,,"Laboratory Method",,
573,"573.20529","Klebsiella pneumoniae strain EuSCAPE_GR117","ciprofloxacin","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
624,"624.2310","Shigella sonnei strain AUSMDU00008342","ciprofloxacin","Resistant",,,,,"agar dilution or broth microdilution",,,,"CLSI",2017,,,,"Laboratory Method",,"30615105"
573,"573.25667","Klebsiella pneumoniae strain 242CHI","ciprofloxacin","Resistant",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
590,"590.15217","Salmonella enterica SRR3294526","ciprofloxacin",,"<=0.01","<=","0.01","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
550,"550.898","Enterobacter cloacae strain e638","ciprofloxacin",,"0.029999999",,"0.029999999","mg/L","MIC",,,,"EUCAST",2016,,,,"Laboratory Method",,"27669519"
85569,"85569.106","Salmonella enterica subsp. enterica serovar Typhimurium str. DT104 strain EWV2","ciprofloxacin","Susceptible",,,,,"disk diffusion","concentration:1ug",,,,,,,,"Laboratory Method",,"24030491"
573,"573.34267","Klebsiella pneumoniae strain INF079-sc-2280008","ciprofloxacin","Susceptible",,,,,"Computational Prediction","Accuracy:0.909, F1 score:0.912, AUC:0.947","AdaBoost Classifier","PATRIC",,,,,,,,
573,"573.13315","Klebsiella pneumoniae KPN1356ec","ciprofloxacin","Resistant",">2",">","2","mg/L","MIC",,"BD phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.29918","Klebsiella pneumoniae strain Kpngiani7132621","ciprofloxacin","Resistant",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
1160769,"1160769.8","Salmonella enterica subsp. enterica serovar Worthington strain CVM N40374","ciprofloxacin","Susceptible","=0.06","=","0.06","mg/L","broth microdilution",,"Dehydrated Panels CMV2AGNF and CMV3AGNF","Thermo Fisher Scientific","CLSI",2015,,,,"Laboratory Method",,"27381390"
590,"590.16143","Salmonella enterica SRR3111261","ciprofloxacin",,"<=0.01","<=","0.01","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
573,"573.21880","Klebsiella pneumoniae strain EuSCAPE_IT282","ciprofloxacin","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
485,"485.6793","Neisseria gonorrhoeae SRR5827071","ciprofloxacin",,"8",,"8","mg/L","agar dilution",,,,,,,,,"Laboratory Method",,"31479500"
485,"485.4958","Neisseria gonorrhoeae DRR124888","ciprofloxacin",,">=32",">=","32","mg/L","Etest",,,,,,,,,"Laboratory Method",,"31479500"
28901,"28901.8252","Salmonella enterica strain 2014AM-0897","ciprofloxacin","Susceptible","0.015","<=","0.015","mg/L","MIC",,,,"CLSI",,,,,"Laboratory Method",,
590,"590.15208","Salmonella enterica SRR2567083","ciprofloxacin",,"<=0.015","<=","0.015","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
573,"573.15392","Klebsiella pneumoniae strain AUH-KIMP444","ciprofloxacin","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
562,"562.57302","Escherichia coli strain 24742_1#373","ciprofloxacin","Susceptible",,,,,"broth dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"30550564"
485,"485.3370","Neisseria gonorrhoeae ERR1067740","ciprofloxacin",,"8",,"8","mg/L","agar dilution",,,,,,,,,"Laboratory Method",,"31479500"
573,"573.15683","Klebsiella pneumoniae strain K760","ciprofloxacin","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
573,"573.14217","Klebsiella pneumoniae KPN533ec","ciprofloxacin","Resistant",">2",">","2","mg/L","MIC",,"BD phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13531","Klebsiella pneumoniae KPN1610ec","ciprofloxacin","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
573,"573.13912","Klebsiella pneumoniae KPN208ec","ciprofloxacin","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
485,"485.3384","Neisseria gonorrhoeae ERR1067753","ciprofloxacin",,"0.004",,"0.004","mg/L",,,,,"EUCAST",2017,,,,"Laboratory Method",,"30510172"
485,"485.8625","Neisseria gonorrhoeae strain 4478STDY6637755","ciprofloxacin",,"4",,"4","mg/L","MIC",,,,"EUCAST",,,,,"Laboratory Method",,"32091356"
485,"485.7203","Neisseria gonorrhoeae strain 10356_1_63","ciprofloxacin",,"0.008",,"0.008","mg/L","E-test",,,"bioMérieux",,,,,,"Laboratory Method",,"31358980"
562,"562.22704","Escherichia coli O6:H1 strain ECO0294","ciprofloxacin","Susceptible",,,,,,,"Vitek2","bioMerieux",,,,,,"Laboratory Method",,"28720578"
485,"485.4746","Neisseria gonorrhoeae ERR855125","ciprofloxacin",,"0.015",,"0.015","mg/L","agar dilution",,,,,,,,,"Laboratory Method",,"31479500"
485,"485.3551","Neisseria gonorrhoeae ERR1082195","ciprofloxacin",,"0.015",,"0.015","mg/L",,,,,"EUCAST",2017,,,,"Laboratory Method",,"30510172"
485,"485.4856","Neisseria gonorrhoeae DRR124792","ciprofloxacin",,">=32",">=","32","mg/L","Etest",,,,,,,,,"Laboratory Method",,"31479500"
470,"470.7499","Acinetobacter baumannii strain MRSN11797","ciprofloxacin","Resistant","4",">=","4","mg/L","MIC",,"Vitek","Biom�rieux","CLSI",,,,,"Laboratory Method",,
85569,"85569.280","Salmonella enterica subsp. enterica serovar Typhimurium str. DT104 strain SPAINd","ciprofloxacin","Susceptible",,,,,"breakpoint","0.5mg/l",,,,,,,,"Laboratory Method",,"24030491"
485,"485.808","Neisseria gonorrhoeae strain 33997","ciprofloxacin","Resistant","4",,"4","mg/L","MIC",,,,"CLSI",2014,,,,"Laboratory Method",,"25378573"
562,"562.23252","Escherichia coli O1:H7 strain ECO0884","ciprofloxacin","Susceptible",,,,,"agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
573,"573.13001","Klebsiella pneumoniae 3290","ciprofloxacin","Resistant",">2",">","2","mg/L","MIC",,"BD phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28776045;28512093"
573,"573.14127","Klebsiella pneumoniae KPN406ec","ciprofloxacin","Resistant",">2",">","2","mg/L","MIC",,"BD phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
485,"485.4480","Neisseria gonorrhoeae ERR3201354","ciprofloxacin",,">=32",">=","32","mg/L","Etest",,,,,,,,,"Laboratory Method",,"31479500"
573,"573.29693","Klebsiella pneumoniae strain SRRSH75","ciprofloxacin","Resistant",,,,,,,,"PATRIC",,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
90370,"90370.3366","Salmonella enterica subsp. enterica serovar Typhi strain IndSP80_2011","ciprofloxacin","Resistant","32",,"32","mg/L","etest",,,"BioMerieux","CLSI",2012,,,,"Laboratory Method",,"26974227"
573,"573.24335","Klebsiella pneumoniae strain MUGSI_117","ciprofloxacin","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
485,"485.6166","Neisseria gonorrhoeae ERR956685","ciprofloxacin",,"16",,"16","mg/L",,,,,"EUCAST",2017,,,,"Laboratory Method",,"30510172"
573,"573.24383","Klebsiella pneumoniae strain MUGSI_237","ciprofloxacin","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.909, F1 score:0.912, AUC:0.947","Computational Method",,
562,"562.42837","Escherichia coli strain MUGSI_206","ciprofloxacin","Resistant","8",">","8","mg/L","MIC",,,,"CLSI",,,,,"Laboratory Method",,
590,"590.16037","Salmonella enterica SRR1299285","ciprofloxacin",,"<=0.01","<=","0.01","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
1438739,"1438739.3","Klebsiella pneumoniae CHS 33","ciprofloxacin","Resistant",,,,,"MIC",,,,,,,,,"Laboratory Method",,
28901,"28901.8507","Salmonella enterica strain CVM N30653","ciprofloxacin","Susceptible","0.015","<=","0.015","mg/L","MIC",,,"Trek","CLSI",,,,,"Laboratory Method",,
590,"590.16091","Salmonella enterica SRR3295901","ciprofloxacin",,"<=0.015","<=","0.015","mg/L","broth microdilution",,"Sensititre","Thermo Scientific",,,,,,"Laboratory Method",,"30333126"
28901,"28901.13408","Salmonella enterica strain 3391A","ciprofloxacin","Susceptible",,,,,"disk diffusion",,,,"EUCAST",2010,,,,"Laboratory Method",,"31222015"
